URL,Title,Business Mangagement,Contact Information,Entity Type,Business Started,Address,Number of Employee,Years in Business,Rating,Website,About,Keywords
https://www.bbb.org/us/tx/san-antonio/profile/restaurant-equipment-repair/the-restaurant-repair-company-0825-90018563/details,The Restaurant Repair Company,Mr. Ted Baker/ Owner,(210) 520-6640,Sole Proprietorship,12/31/1991,4227 Center Gate Dr San Antonio TX 78217,, 33,A+,,,Restaurants
https://www.bbb.org/us/tx/san-antonio/profile/restaurants/sonic-0825-1000108908/details,Sonic,Mr. Michael Baldobino/ District Manager,(210) 222-9500,,,2135 N Interstate 35 San Antonio TX 78208-1519,,,,,,Restaurants
https://www.bbb.org/us/tx/san-antonio/profile/restaurants/subway-0825-1000103859/details,Subway,Mr. Suresh Agrawal/ President,(210) 349-0605,,12/31/1988,8015 Callaghan Rd San Antonio TX 78230-4718,, 36,,https://www.subway.com/,,Restaurants
https://www.bbb.org/us/ca/san-francisco/profile/lawyers/law-office-of-daniel-a-bakondi-1116-531748/details,Law Office of Daniel a Bakondi,,(415) 450-0424,,1/9/2006,870 Market St STE 1157 San Francisco CA 94102,1, 19,,https://www.danielbakondi.com/,,Lawyers
https://www.bbb.org/us/ca/san-francisco/profile/lawyers/law-offices-of-thomas-marc-litton-1116-909917/details,Law Offices of Thomas Marc Litton,Mr. Thomas M Litton/ Owner,(415) 421-4774,Sole Proprietorship,10/6/2009,1 Sansome St Ste 3500 San Francisco CA 94104-4436,1, 16,A+,https://www.littonlaw.com/,Law Offices of Thomas Marc Litton offers attorney services; litigation/ business and personal injury.,Lawyers
https://www.bbb.org/us/ca/san-francisco/profile/lawyers/jackson-mccray-law-offices-1116-453655/details,Jackson-McCray Law Offices,Ms. Gail Jackson-McCray/ Attorney,"['(415) 377-6458', '(415) 529-1104', '(415) 529-1103']",Sole Proprietorship,1/9/2012,870 Market St Ste 1161 San Francisco CA 94102-2924,1, 13,A+,,This company offers a general law practice in the areas of estate planning/will drafting; landlord tenant including tenant matters and eviction defense; family law including divorce/ custody/ support; personal injury law including nursing home matters and auto accidents.,Lawyers
https://www.bbb.org/us/ca/san-francisco/profile/lawyers/law-office-of-sean-patrick-joyce-1116-57395/details,Law Office of Sean Patrick Joyce,Mr. Sean P. Joyce/ Partner,(415) 399-1460,,2/12/2014,870 Market St STE 414 San Francisco CA 94102-3010,1, 11,A+,https://ljdfamilylaw.com/,,Lawyers
https://www.bbb.org/us/tx/san-antonio/profile/lawyers/duncan-bressler-liu-inc-0825-26524/details,"Duncan Bressler & Liu, Inc",Mr. Edgar M Duncan/ Attorney,(210) 224-0781,Corporation,12/31/1970,1020 NE Loop 410 Ste 500 San Antonio TX 78209-1224,, 54,,https://www.duncanlaw.com/,,Lawyers
https://www.bbb.org/us/tx/san-antonio/profile/lawyers/swindell-associates-pc-0825-90040774/details,Swindell & Associates P.C.,Mr. Patrick Swindell/ Managing Partner,(210) 757-4577,Corporation,1/31/1991,8610 N New Braunfels Ave # 205 San Antonio TX 78217,, 34,,,,Lawyers
https://www.bbb.org/us/tx/san-antonio/profile/litigation-lawyer/law-offices-of-r-scott-carlyon-associates-0825-90006266/details,Law Offices of R Scott Carlyon & Associates,Mr. Scott Carlyon/ Owner,(210) 541-0295,Sole Proprietorship,2/15/1993,1100 NW Loop 410 Ste 700 San Antonio TX 78213-2258,, 32,A+,,,Lawyers
https://www.bbb.org/us/tx/san-antonio/profile/family-lawyer/law-office-of-bertha-gutierrez-pc-0825-1000101160/details,"Law Office of Bertha Gutierrez, P.C.",Ms. Bertha Gutierrez/ Director,(210) 212-5442,Corporation,9/30/2005,10010 San Pedro Ave Ste 707 San Antonio TX 78216-2240,, 20,A+,https://www.berthagutierrezlaw.com/,,Lawyers
https://www.bbb.org/us/ca/san-francisco/profile/restaurants/zuni-cafe-1116-279517/details,Zuni Cafe,Mr. Vincent Calcagno/ Vice-President,(415) 552-2522,,,1658 Market St San Francisco CA 94102-5949,100,,,,,Restaurants
https://www.bbb.org/us/ca/san-francisco/profile/restaurants/kamei-housewares-restaurant-supply-1116-60292/details,Kamei Housewares & Restaurant Supply,,(415) 666-3688,,,525-547 Clement Street San Francisco CA 94118,1,,,,,Restaurants
https://www.bbb.org/us/ca/san-francisco/profile/restaurants/golden-w-restaurant-1116-911936/details,Golden W Restaurant,,(415) 216-6443,,,8 Trinity Pl San Francisco CA 94104,1,,,,,Restaurants
https://www.bbb.org/us/ca/san-francisco/profile/restaurants/pasta-pomodoro-1116-15016/details,Pasta Pomodoro,,(415) 831-0900,,8/25/1998,598 Haight St San Francisco CA 94117-3407,1, 27,,https://www.pastapomodoro.com/,,Restaurants
https://www.bbb.org/us/tx/san-antonio/profile/restaurants/whataburger-0825-41841/details,Whataburger,Mr. Ron Campos/ Director,(210) 650-4003,Limited Liability Company (LLC),4/30/1978,300 Concord Plaza Dr San Antonio TX 78216-6903,, 47,D-,https://whataburger.com/,,Restaurants
https://www.bbb.org/us/tx/san-antonio/profile/restaurant-equipment-repair/the-restaurant-repair-company-0825-90018563/details,The Restaurant Repair Company,Mr. Ted Baker/ Owner,(210) 520-6640,Sole Proprietorship,12/31/1991,4227 Center Gate Dr San Antonio TX 78217,, 33,A+,,,Restaurants
https://www.bbb.org/us/tx/san-antonio/profile/restaurants/subway-0825-1000103859/details,Subway,Mr. Suresh Agrawal/ President,(210) 349-0605,,12/31/1988,8015 Callaghan Rd San Antonio TX 78230-4718,, 36,,https://www.subway.com/,,Restaurants
https://www.bbb.org/us/tx/san-antonio/profile/restaurants/kim-tran-restaurant-0825-1000195339/details,Kim Tran Restaurant,Mr. Hai Quang Tran/ Owner,(210) 584-8748,Sole Proprietorship,1/31/2020,1015 Rittiman Rd Ste 107 San Antonio TX 78218-4268,, 5,,,,Restaurants
